"","Lat.K","Long.K"
"1",34.2806158571428,-89.1185210238095
"2",40.9912673142857,-84.9818969142857
"3",44.3069075555556,-72.7205502777778
"4",46.98266304,-112.09716676
"5",31.0553725263158,-86.3974633157895
"6",30.5747488421053,-98.9245758421053
"7",40.8996965454545,-76.6170538636364
"8",38.6361911538462,-75.8456986153846
"9",38.8042697741935,-77.1249649032258
"10",31.8991507407407,-82.1048154074074
"11",33.3176069411765,-109.983832352941
"12",34.1025137297297,-84.8702297297297
"13",38.9492589666667,-82.5529348
"14",34.2863225,-116.826290071429
"15",31.4847794,-93.5854147714286
"16",41.1139708837209,-93.6720338604651
"17",41.7912274375,-122.8682808125
"18",42.2863928076923,-71.2883258076923
"19",28.0916050526316,-81.9092038421052
"20",42.6228068571428,-73.4604529523809
"21",38.3724885588235,-101.692478764706
"22",40.9647913571429,-80.5835644642857
"23",40.2318673846154,-86.6720926410256
"24",38.86019142,-84.81963828
"25",32.33672856,-84.84973676
"26",40.226396,-78.3259096875
"27",42.9232627391304,-83.7593212608696
"28",31.6615495277778,-89.2056903055555
"29",39.7588099722222,-105.917288555556
"30",45.7912292777778,-93.074653
"31",36.73120240625,-76.46807690625
"32",34.5521508571429,-79.5200394761905
"33",32.9173136086956,-96.2482536304348
"34",36.7456957291667,-88.8028675625
"35",38.3789591463415,-87.5571894634146
"36",35.6595937209302,-86.6709601162791
"37",41.0185832553192,-96.887222893617
"38",39.5524843333333,-111.8846967
"39",41.4675977352941,-91.0399090294117
"40",46.1966666944444,-116.8463285
"41",45.7582009090909,-108.304718772727
"42",33.40402944,-81.0515016
"43",30.0958348636364,-82.2922575909091
"44",46.9681441081081,-96.3456199189189
"45",31.7580782916667,-103.843671833333
"46",30.536622875,-91.0555512
"47",43.0918898,-85.7239393
"48",32.7406538571429,-83.4949220714285
"49",44.9551898846154,-84.7694431923077
"50",35.2052901578947,-101.970636526316
"51",35.1773488,-77.6154217
"52",35.9466141891892,-91.2225896216216
"53",42.97244146875,-112.79131253125
"54",37.4010117037037,-79.8380621851852
"55",36.1160628095238,-79.2853311904762
"56",47.307113030303,-99.9281867878788
"57",39.0542211142857,-92.1990652571428
"58",43.9893925294118,-99.6985150588235
"59",37.24075434375,-77.6838029375
"60",36.046202027027,-95.9829107567568
"61",37.1164222758621,-81.5010948275862
"62",38.9095206190476,-90.0137147857143
"63",39.0418787608696,-95.2233112391304
"64",33.1077565294118,-91.4254902058824
"65",37.0871164411765,-93.6202556470588
"66",30.929377,-84.154664625
"67",46.81488953125,-104.03900103125
"68",34.5340441,-98.60606965
"69",33.1118061481481,-86.8965463333333
"70",26.58898925,-80.81184525
"71",34.3989465588235,-93.5155301470588
"72",38.6276334285714,-78.663692
"73",40.7344523448276,-82.9213197586207
"74",37.8239448205128,-98.5193655384615
"75",34.1380304117647,-82.988606
"76",39.30543059375,-80.7010985
"77",32.6317895882353,-100.8224635
"78",43.6003270322581,-88.7881377741936
"79",40.633432775,-99.6470094
"80",41.0035453928571,-74.0933419285714
"81",43.4151230769231,-94.391756051282
"82",42.3437430588235,-78.3978535294118
"83",44.5946496,-69.3687925333333
"84",45.8574229090909,-120.128133727273
"85",46.496578516129,-122.952086741935
"86",35.7106341428571,-84.0260328285714
"87",43.7582986176471,-91.7849563529412
"88",42.0541680322581,-103.126608645161
"89",43.7500518333333,-96.7842014523809
"90",30.0572781428571,-96.1414198285714
"91",37.4232366756757,-83.4336341351351
"92",38.3775150192308,-120.624946096154
"93",36.6628162352941,-106.706371029412
"94",41.3121436060606,-88.7610855454546
"95",35.5801296176471,-81.5360439411765
"96",42.8468432608696,-76.0796878695652
"97",45.8945558928571,-88.8317141785714
"98",37.2542578536585,-85.5362574878049
"99",40.0497982272727,-75.1725316818182
"100",27.8667546785714,-98.3547277857143
